Sample name,d13C,d15N
1000-01P,-27.5,-0.7
1000-02P,-29.8,0.7
1000-03P,-29.4,-0.5
1100-01P,-28.7,-2.3
1100-02P,-30.7,-1.5
1100-04P,-34,-3.5
1200-01P,-29.9,-3.7
1200-02P,-28.7,-1
1200-05P,-32.1,-3.7
1300-01P,-29.8,2.4
1300-04P,-30.3,1.9
1300-05P,-34.2,-1.6
1400-01P,-31.1,-3.4
1400-03P,-30.2,-4
1400-04P,-33.6,-4.6
1500-01P,-29.8,-0.2
1500-02P,-28.6,-3.9
1500-03P,-29.5,-3.8
1600-02P,-29.3,0
1600-03P,-29.6,-0.9
1600-04P,-26.6,-6.1
1700-01P,-32.6,-2.1
1700-02P,-31,-2
1700-03P,-31.9,-0.3
1800-01P,-32.2,-3.5
1800-02P,-30.9,-6.7
1800-04P,-31,-1.5
1900-02P,-29.4,-3.2
1900-04P,-31.7,-3.9
1900-05P,-29.9,1
2000-INP 123,-30.9,-5.9
2000-P4,-30.7,-2.7
2000-P42,-30,1.5
2100-P1,-30.9,-4.4
2100-P2,-29.7,-3.4
2100-P3,-31.3,-4.7
2200-P1,-27.5,0
2200-P2,-30,-2
2200-P4,-28.5,-3.3
2300-0P5,-29.3,0.1
2300-P1,-28.6,-4.4
2300-P2,-29.9,-3.1
2400-P125-IN,-31.4,-3.8
2400-P3,-28.5,-2.6
2400-P4,-30.1,-5.6
2500-P1,-30.4,-1.4
2500-P3,-31,0.3
2500-P45,-29.9,-3.2
2600-P1,-28.6,-2.7
2600-P2,-26.5,-4.1
2600-P3,-28.4,-3.6
2700-PIN,-29.6,-3.1
2700-PIN-2,-32.7,-1.2
2700-PIN3,-30.2,-5.2
2800-P1,-31.8,-2.8
2800-P2,-30.7,-2.9
2800-P5,-25.7,-3.1
400-01P,-30.2,-2.5
400-02P,-28.9,-2.7
400-05P,-30.3,-2.7
500-02P,-29.2,-3.5
500-03P,-29.2,-3.4
500-04P,-28.2,-4.1
600-01P,-32,-0.5
600-02P,-30.4,-1.3
600-05P,-28.5,-1.8
700-02P,-30.3,-0.4
700-04P,-30.6,-2
700-05P,-28.4,-1.8
800-02P,-30.7,-0.9
800-03P,-32,-0.5
800-05P,-29,-0.2
900-01P,-31.4,-2.1
900-02P,-29.5,-0.8
900-04P,-29.4,0.7
